Country,Warnings,date,isHeatWave,isHeatWaveCat
Botswana,"['Cold wave', 'Dust storm/Sandstorm', 'Fog', 'Frost', 'Hail', 'Heat wave', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wild land fire/Forest fire', 'Wind', 'Yes', 'Yes', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No', '80']",09/29/2023,1,Yes
Brazil,"['Cold wave', 'Drought/Dry spell', 'Flood', 'Fog', 'Frost', 'Hail', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'No', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'Yes', 'All of Brazilian territory is covered by Early Warnings']",09/26/2023,1,Yes
British Caribbean Territories,"['Drought/Dry spell', 'Flood', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Tsunami', 'Wind', 'No', 'Yes', 'No', 'Yes', '72 hrs', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'No', 'Yes', 'Yes', '100']",09/26/2023,0,No
Brunei Darussalam,[0],09/26/2023,2,Unknown
Bulgaria,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Flood', 'Fog', 'Freezing rain', 'Frost', 'Hail', 'Heat wave', 'High Seas/Rogue waves etc.', 'Icing', 'Lightning', 'Pollen pollution/Polluted air', 'Rain/Wet Spell', 'Snow', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'Yes', 'No']",09/29/2023,1,Yes
Burkina Faso,"['Cold wave', 'Drought/Dry spell', 'Dust storm/Sandstorm', 'Haze/Smoke', 'Heat wave', 'Lightning', 'Rain/Wet Spell', 'Thunderstorms/Squall lines', 'Wind', 'Yes', 'No', 'No', 'No', 'Yes', 'Yes', 'Yes', 'No']",09/26/2023,1,Yes
Burundi,"['Flood', 'Rain/Wet Spell', 'No', 'Yes', 'No', 'No', 'Yes', 'Yes', 'No', 'No']",09/27/2023,0,No
Cabo Verde,"['Drought/Dry spell', 'Dust storm/Sandstorm', 'Fog', 'Haze/Smoke', 'High Seas/Rogue waves etc.', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tornado', 'Tropical cyclone', 'Volcanic ash', 'Wind', 'Yes', 'Yes', 'Yes', '2 days', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes']",09/27/2023,0,No
Cambodia,"['Drought/Dry spell', 'Flood', 'Lightning', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Tropical cyclone', 'Wind', 'Yes', 'Yes', 'Yes', 'No', 'Yes', 'Yes', 'Yes', 'No', 'It varies depending on the territory. There is no uniform answer to this question but the urban areas have more people at risk that in the coastal area. However, the elements at risk cover not only human but productive assets.']",09/27/2023,0,No
Cameroon,"['Cold wave', 'Dust storm/Sandstorm', 'Fog', 'Haze/Smoke', 'Heat wave', 'Landslide/Mudslide & Debris flow', 'Rain/Wet Spell', 'Storm surge/Coastal flood', 'Thunderstorms/Squall lines', 'Wind', 'No', 'Yes', 'Yes', '72 heures', 'Yes', 'Yes', 'No']",09/26/2023,1,Yes
